epoch,year,type,region_id,name,outcome,faction,measure,winner,ceded,tribute,occupied,contested,ruler
1,1025,concession,0,,,,,,,,,,
1,1025,embargo,0,,,,,,,,,,
1,1025,settlement_abandoned,1,,,,,,,,,,
1,1025,settlement_abandoned,3,,,,,,,,,,
1,1025,settlement_abandoned,4,,,,,,,,,,
1,1025,settlement_abandoned,7,,,,,,,,,,
1,1025,settlement_abandoned,8,,,,,,,,,,
1,1025,settlement_abandoned,9,,,,,,,,,,
1,1025,settlement_abandoned,10,,,,,,,,,,
1,1025,settlement_abandoned,11,,,,,,,,,,
1,1025,blight_plague,5,the Grey Breath of 1025,,,,,,,,,
2,1050,settlement_founded,11,,,,,,,,,,
2,1050,storm,0,the Great Storm of 1050,,,,,,,,,
3,1075,refinery_collapse,5,,,,,,,,,,
3,1075,succession,,Faelione,,temple,,,,,,false,1
3,1075,succession,,Morvolt,,magnate,,,,,,false,1
3,1075,drought,5,the Drought of 1075,,,,,,,,,
3,1075,storm,0,the Great Storm of 1075,,,,,,,,,
3,1075,reform,,,,,crown_granary,,,,,,
3,1075,consecration,5,,,,,,,,,,
4,1100,settlement_founded,1,,,,,,,,,,
4,1100,settlement_founded,3,,,,,,,,,,
4,1100,settlement_founded,7,,,,,,,,,,
4,1100,settlement_founded,8,,,,,,,,,,
4,1100,settlement_founded,10,,,,,,,,,,
4,1100,succession,,Merby,,crown,,,,,,true,1
4,1100,storm,0,the Great Storm of 1100,,,,,,,,,
5,1125,settlement_abandoned,0,,,,,,,,,,
5,1125,refinery_founded,0,,,,,,,,,,
5,1125,seizure,0,,,magnate,,,,,,,
7,1175,ascendancy,5,the Rise of Forby,,,,,,,,,
8,1200,succession,,Therton,,crown,,,,,,false,2
8,1200,drought,5,the Drought of 1200,,,,,,,,,
8,1200,discovery,1,the Dunholdham Find,,,,,,,,,
9,1225,war,5,the War of 1225,,crown|temple,,,,,,,
9,1225,succession,,Ophel,,temple,,,,,,true,2
9,1225,drought,5,the Drought of 1225,,,,,,,,,
9,1225,storm,1,the Great Storm of 1225,,,,,,,,,
9,1225,discovery,1,the Dunholdham Find,,,,,,,,,
9,1225,ascendancy,5,the Rise of Forby,,,,,,,,,
10,1250,succession,,Tremmok,,magnate,,,,,,false,2
10,1250,treaty,5,the Peace of Forby,,crown|temple,,crown,0,0,,,
