epoch,year,type,region_id,name,outcome,faction,measure,winner,ceded,tribute,occupied,contested,ruler,by
1,1025,concession,0,,,,,,,,,,,
1,1025,embargo,0,,,,,,,,,,,
1,1025,site_unviable,4,,,,,,,,,,,
1,1025,site_unviable,7,,,,,,,,,,,
1,1025,site_unviable,9,,,,,,,,,,,
2,1050,settlement_founded,7,,,,,,,,,,,
2,1050,storm,0,the Great Storm of 1050,,,,,,,,,,
3,1075,refinery_collapse,5,,,,,,,,,,,
3,1075,succession,,Velane,,temple,,,,,,false,1,
3,1075,succession,,Volzar,,magnate,,,,,,false,1,
3,1075,drought,10,the Drought of 1075,,,,,,,,,,
3,1075,storm,0,the Great Storm of 1075,,,,,,,,,,
4,1100,succession,,Holdenmere,,crown,,,,,,true,1,
4,1100,storm,0,the Great Storm of 1100,,,,,,,,,,
5,1125,settlement_abandoned,0,,,,,,,,,,,
5,1125,refinery_founded,0,,,,,,,,,,,
5,1125,seizure,0,,,magnate,,,,,,,,
6,1150,blight_plague,1,the Grey Breath of 1150,,,,,,,,,,
6,1150,revolt,1,the Vrakton Rising,crushed,,,,,,,,,
7,1175,settlement_abandoned,1,,,,,,,,,,,
7,1175,ascendancy,9,the Rise of Cerandre Cairn,,,,,,,,,,
8,1200,settlement_founded,9,,,,,,,,,,,
8,1200,succession,,Wornweld,,crown,,,,,,false,2,
8,1200,drought,9,the Drought of 1200,,,,,,,,,,
8,1200,discovery,7,the Dhozzurn Find,,,,,,,,,,
9,1225,succession,,Tessethe,,temple,,,,,,true,2,
9,1225,drought,9,the Drought of 1225,,,,,,,,,,
9,1225,storm,2,the Great Storm of 1225,,,,,,,,,,
9,1225,discovery,7,the Dhozzurn Find,,,,,,,,,,
9,1225,ascendancy,9,the Rise of Cerandre Cairn,,,,,,,,,,
10,1250,succession,,Brazzul,,magnate,,,,,,false,2,
