epoch,year,type,region_id,name,outcome,faction,measure,winner,ceded,tribute,occupied,contested,ruler
1,1025,settlement_abandoned,0,,,,,,,,,,
1,1025,settlement_abandoned,2,,,,,,,,,,
1,1025,settlement_abandoned,3,,,,,,,,,,
1,1025,settlement_abandoned,5,,,,,,,,,,
1,1025,settlement_abandoned,6,,,,,,,,,,
1,1025,settlement_abandoned,7,,,,,,,,,,
1,1025,settlement_abandoned,8,,,,,,,,,,
1,1025,settlement_abandoned,9,,,,,,,,,,
1,1025,settlement_abandoned,10,,,,,,,,,,
1,1025,settlement_abandoned,11,,,,,,,,,,
1,1025,seizure,1,,,magnate,,,,,,,
1,1025,drought,1,the Drought of 1025,,,,,,,,,
2,1050,annexation,1,the Landing at Ulvere,,,,,,,3,,
2,1050,discovery,1,the Ulvere Find,,,,,,,,,
3,1075,succession,,Evere,,crown,,,,,,true,1
3,1075,succession,,Rumketh,,magnate,,,,,,true,1
3,1075,storm,1,the Great Storm of 1075,,,,,,,,,
4,1100,refinery_collapse,1,,,,,,,,,,
4,1100,relic_calamity,0,,,,,,,,,,
4,1100,revolt,0,the Drukdelve Rising,won,,,,,,,,
5,1125,settlement_founded,2,,,,,,,,,,
5,1125,settlement_founded,3,,,,,,,,,,
5,1125,settlement_founded,6,,,,,,,,,,
5,1125,settlement_founded,7,,,,,,,,,,
5,1125,settlement_founded,8,,,,,,,,,,
5,1125,settlement_founded,9,,,,,,,,,,
5,1125,settlement_founded,10,,,,,,,,,,
5,1125,succession,,Evane,,temple,,,,,,false,1
5,1125,storm,1,the Great Storm of 1125,,,,,,,,,
5,1125,discovery,1,the Ulvere Find,,,,,,,,,
6,1150,settlement_founded,5,,,,,,,,,,
6,1150,refinery_founded,1,,,,,,,,,,
6,1150,succession,,Gnarrothrak,,magnate,,,,,,false,2
6,1150,drought,3,the Drought of 1150,,,,,,,,,
6,1150,quake,11,the Durtash Delf Quake,,,,,,,,,
6,1150,reform,,,,,crown_granary,,,,,,
8,1200,succession,,Ladenmere,,crown,,,,,,false,2
8,1200,storm,1,the Great Storm of 1200,,,,,,,,,
9,1225,quake,11,the Durtash Delf Quake,,,,,,,,,
10,1250,quake,11,the Durtash Delf Quake,,,,,,,,,
10,1250,ascendancy,0,the Rise of Drukdelve,,,,,,,,,
